2QPHU	1				AT1G64980.1			
2QPHW	1				AT5G08440.2,AT5G23490.1,AT5G23510.2			
2QPHX	1							YOR051C
2QPHY	2						SPCP1E11.04c.1	YDR348C,YHR097C
2QPI0	1							YGR266W
2QPI1	1				AT3G03670.1,AT5G17820.1,AT5G22410.1			
2QPI2	1	ENSP00000460971						
2QPI3	1				AT1G14890.1,AT1G23205.1,AT1G70720.1,AT2G01610.1			
2QPI6	1				AT1G02800.1,AT4G02290.1			
2QPI7	2				AT1G36070.1,AT1G55680.1,AT1G78070.1,AT3G13340.1,AT5G56190.2		SPBC2A9.03.1	
2QPIA	3	ENSP00000272732,ENSP00000290216	ENSDARP00000014414,ENSDARP00000063856			FBpp0081084		
2QPIB	1				AT3G49560.1,AT5G24650.1			
2QPIC	1				AT1G08090.1,AT1G08100.1,AT1G12940.1,AT3G45060.1,AT5G14570.1,AT5G60770.1,AT5G60780.1			
2QPID	1				AT3G07500.1			
2QPIE	1				AT3G02645.1			
2QPIF	1					FBpp0071081,FBpp0292439		
2QPIG	1				AT5G16720.1			
2QPII	1				AT2G25605.1			
2QPIJ	1	ENSP00000457748						
2QPIK	1				AT1G22310.2			
2QPIM	2	ENSP00000263413	ENSDARP00000113672,ENSDARP00000121497					
2QPIN	1				AT1G56080.1			
2QPIP	1				AT1G53000.1			
2QPIQ	1				AT4G34350.1			
2QPIR	1				AT1G19320.1,AT4G24180.1,AT4G38660.1			
2QPIT	1				AT4G01130.1			
2QPIV	1	ENSP00000310303						
2QPIW	1		ENSDARP00000073631					
2QPIX	1				AT5G48090.1,AT5G55390.1			
2QPIY	1				AT3G55660.1,AT4G38430.1,AT5G02010.1,AT5G05940.1			
2QPJ0	1				AT1G07230.1,AT2G26870.1,AT3G03520.1,AT3G03530.1,AT3G03540.1,AT3G48610.1			
2QPJ1	3	ENSP00000296015	ENSDARP00000018028			FBpp0081805		
2QPJ2	1				AT5G10290.1,AT5G63710.1,AT5G65240.2			
2QPJ3	1				AT5G63540.2			
2QPJ4	1				AT4G39810.1			
2QPJ5	1				AT3G28150.1			
2QPJ6	1		ENSDARP00000067835					
2QPJ7	1				AT5G62790.2			
2QPJ9	1				AT1G13470.1,AT1G13480.1,AT1G13490.1,AT1G13500.1,AT1G13510.1,AT1G13520.1,AT1G13530.1,AT1G13540.1,AT1G13550.1			
2QPJA	2	ENSP00000348132	ENSDARP00000073251					
2QPJB	2	ENSP00000298251	ENSDARP00000101252,ENSDARP00000124635					
2QPJC	1				AT1G15690.1,AT1G16780.1,AT1G78920.2			
2QPJD	3	ENSP00000377686	ENSDARP00000097153			FBpp0076417		
2QPJE	3	ENSP00000289388	ENSDARP00000086133			FBpp0303714		
2QPJF	1							YKL176C
2QPJG	2						SPCC1442.12.1	YER026C
2QPJH	1				AT2G36270.1			
2QPJJ	1		ENSDARP00000122095					
2QPJN	2	ENSP00000262866	ENSDARP00000121867					
2QPJP	3	ENSP00000362244	ENSDARP00000075057,ENSDARP00000106372,ENSDARP00000117549	C35C5.1				
2QPJQ	1			M03F8.5				
2QPJR	3	ENSP00000311827	ENSDARP00000056800,ENSDARP00000110262			FBpp0077259		
2QPJS	1				AT1G31650.1			
2QPJU	1				AT3G47820.1,AT5G40140.1,AT5G62560.1,AT5G65200.1			
2QPJV	3	ENSP00000351669,ENSP00000362136	ENSDARP00000073408,ENSDARP00000118543			FBpp0078757		
2QPJW	1		ENSDARP00000098349					
2QPJX	2	ENSP00000379057	ENSDARP00000094402					
2QPJZ	1				AT3G60810.1			
2QPK1	1							YKL217W
2QPK3	1				AT2G36840.1			
2QPK4	5	ENSP00000308533	ENSDARP00000124464	Y39A3CR.1a	AT1G54380.1,AT2G42510.2	FBpp0303126		
2QPK5	1				AT3G19800.1			
2QPK6	1				AT3G01780.1			
2QPK8	1				AT3G50590.1			
2QPKA	1							YDR072C
2QPKB	2				AT1G67550.1		SPAC1952.11c.1	
2QPKC	1				AT3G61770.1			
2QPKD	1				AT1G32510.1,AT4G17980.1,AT5G46590.1			
2QPKE	3	ENSP00000261888	ENSDARP00000017949			FBpp0086303		
2QPKF	1				AT3G10030.1			
2QPKH	1							YPR201W
2QPKI	1				AT2G39120.1			
2QPKJ	3	ENSP00000250113,ENSP00000350170,ENSP00000359506	ENSDARP00000004667,ENSDARP00000092273,ENSDARP00000104665,ENSDARP00000124192			FBpp0300445		
2QPKK	3	ENSP00000352516	ENSDARP00000013243		AT4G08990.1,AT4G13610.1,AT4G14140.2,AT5G49160.1			
2QPKM	1				AT1G77890.1,AT4G08540.1			
2QPKN	3	ENSP00000290401,ENSP00000333769	ENSDARP00000018579,ENSDARP00000060115,ENSDARP00000064402,ENSDARP00000111135			FBpp0079196		
2QPKP	1				AT3G23450.1			
2QPKQ	1				AT3G08930.1,AT5G01460.1			
2QPKR	1				AT1G30490.1,AT1G52150.2,AT2G34710.1,AT4G32880.1			
2QPKS	1			T23F2.2b				
2QPKT	2	ENSP00000348888	ENSDARP00000107085,ENSDARP00000109764,ENSDARP00000110921,ENSDARP00000112186					
2QPKU	1				AT5G35770.1			
2QPKV	3	ENSP00000342169	ENSDARP00000026137			FBpp0072248		
2QPKW	2	ENSP00000357588	ENSDARP00000004827,ENSDARP00000099230					
2QPKX	1							YDR277C,YOR047C
2QPKY	1				AT1G66330.2			
2QPKZ	1				AT1G01120.1,AT1G04220.1,AT1G19440.1,AT1G25450.1,AT1G68530.1,AT2G15090.1,AT2G16280.1,AT2G26640.1,AT2G46720.1,AT3G10280.1,AT4G34250.1,AT4G34510.1,AT4G34520.1,AT5G43760.1			
2QPM2	2						SPBC14C8.05c.1	YIL099W
2QPM4	2	ENSP00000285871	ENSDARP00000109536					
2QPM5	1				AT1G03040.1,AT4G02590.1			
2QPM6	1				AT2G01905.1			
2QPM7	3	ENSP00000255674	ENSDARP00000023024			FBpp0087015		
2QPM8	2	ENSP00000455041	ENSDARP00000041053,ENSDARP00000079883					
2QPM9	1							YGR196C
2QPMB	1				AT3G46870.1			
2QPMC	2	ENSP00000252100	ENSDARP00000018110					
2QPMD	2	ENSP00000225388	ENSDARP00000090987					
2QPME	1				AT1G11380.1			
2QPMF	1				AT3G61490.3,AT4G23500.1			
