Group ID	Average H/M	Total H/M	Hit Proteins	Total Proteins	Hit Species	Total Species	A. thaliana Total	C. elegans Total	D. melanogaster Total	D. rerio Total	H. sapiens Total	S. cerevisiae Total	S. pombe Total	A. thaliana Hit	C. elegans Hit	D. melanogaster Hit	D. rerio Hit	H. sapiens Hit	S. cerevisiae Hit	S. pombe Hit	
KOG1858	1.0	1.0	6	6	6	6	Q9FFF9	O18191	Q9VXV3		Q9H1A4	P53886	Q9URV2	Q9FFF9	O18191	Q9VXV3		Q9H1A4	P53886	Q9URV2	
KOG2165	1.0	1.0	7	7	7	7	Q8H1U5	P34514	Q9W1E5	A0A0R4ISV4	Q9UJX6	Q12440	Q874R3	Q8H1U5	P34514	Q9W1E5	A0A0R4ISV4	Q9UJX6	Q12440	Q874R3	
KOG4640	1.0	1.0	5	5	5	5	O65418		Q9W395		Q9UJX5	Q04601	O42839	O65418		Q9W395		Q9UJX5	Q04601	O42839	
KOG4322	1.0	1.0	4	4	4	4	Q8H1U4		Q9VZL2		Q9UJX4		Q9P4W7	Q8H1U4		Q9VZL2		Q9UJX4		Q9P4W7	
KOG3032	1.0	1.0	4	4	4	4	Q9M8S7	Q22139	Q9VBY5		Q96NB3			Q9M8S7	Q22139	Q9VBY5		Q96NB3			
KOG4652	1.0	1.0	11	11	5	5	F4HRV8,F4JTJ9	G5EBG0,O01820,Q95XC8,Q20305		A2BF66,Q29RB8	Q86X24,Q8N7B1	P20050		F4HRV8,F4JTJ9	G5EBG0,O01820,Q95XC8,Q20305		A2BF66,Q29RB8	Q86X24,Q8N7B1	P20050		
KOG0890	1.0	1.0	6	6	6	6	Q9FKS4	Q22258	Q9VXG8		Q13535	P38111	Q02099	Q9FKS4	Q22258	Q9VXG8		Q13535	P38111	Q02099	
KOG0580	1.0	1.0	13	13	7	7	Q9M077,Q683C9,O64629	O01427,G5EDL3	Q9VKN7,Q9VGF9	Q6NW76	O14965,Q96GD4,Q9UQB9	P38991	O59790	Q9M077,Q683C9,O64629	O01427,G5EDL3	Q9VKN7,Q9VGF9	Q6NW76	O14965,Q96GD4,Q9UQB9	P38991	O59790	
KOG1166	1.0	1.0	16	16	7	7	F4IVI0,O22806,Q9FFG4	Q21776,O02053	Q9VMS5,A1Z6I7	F1QNS6,F1Q636,E7F5T9	O60566,O43683	P41695,P47074	O94751,O59767	F4IVI0,O22806,Q9FFG4	Q21776,O02053	Q9VMS5,A1Z6I7	F1QNS6,F1Q636,E7F5T9	O60566,O43683	P41695,P47074	O94751,O59767	
KOG1036	1.0	1.0	9	9	7	7	Q9LJN8,Q9C701,F4I241	Q9XWH0	Q9VAJ2	U3JAH9	O43684	P26449	O42860	Q9LJN8,Q9C701,F4I241	Q9XWH0	Q9VAJ2	U3JAH9	O43684	P26449	O42860	
