Group ID	Average H/M	Total H/M	Hit Proteins	Total Proteins	Hit Species	Total Species	A. thaliana Total	C. elegans Total	D. melanogaster Total	D. rerio Total	H. sapiens Total	S. cerevisiae Total	S. pombe Total	A. thaliana Hit	C. elegans Hit	D. melanogaster Hit	D. rerio Hit	H. sapiens Hit	S. cerevisiae Hit	S. pombe Hit	
KOG0054	1.0	1.0	80	80	7	7	Q9LYS2,Q9C8H1,Q9C8H0,Q9SKX0,Q9LZJ5,Q7FB56,Q9C8G9,Q42093,Q9LK64,Q7DM58,Q7GB25,Q8VZZ4,Q9LK62,Q8LGU1,Q9M1C7,Q9FVV9	G5EE72,Q9U2G5,Q95QV2,Q95QE2,Q19625,Q9XW61,G5EFP3,Q19048,Q20943	P91660,Q9VL32,Q9VLN6,Q9VC63,Q9VJ21,Q961D3,Q8MT77,Q9VK56,Q9VGM1,Q9VLP5,Q9VAN4,Q9W2I5,Q7KT22,A0A0B4KGI0	Q1LX78,A0A0R4IV86,E7EYG0,R4GDR4,E7F118,A0A140LGU2,F1QIK5,F1R4U2,F8W557,F1RCV0,A0A0R4IC81,A0A0N4SUC0,A0A140LGD8,E7F961,F1QMZ9,E7F108,A0A0N4SU49,Q5RH87	Q09428,O60706,P13569,P33527,Q92887,O15438,O15439,O15440,O95255,Q5T3U5,Q96J66,Q96J65	P14772,P0CE68,P38735,P32386,P39109,P0CE69,P53049	Q92337,Q10185,Q9P5N0,Q9P7V2	Q9LYS2,Q9C8H1,Q9C8H0,Q9SKX0,Q9LZJ5,Q7FB56,Q9C8G9,Q42093,Q9LK64,Q7DM58,Q7GB25,Q8VZZ4,Q9LK62,Q8LGU1,Q9M1C7,Q9FVV9	G5EE72,Q9U2G5,Q95QV2,Q95QE2,Q19625,Q9XW61,G5EFP3,Q19048,Q20943	P91660,Q9VL32,Q9VLN6,Q9VC63,Q9VJ21,Q961D3,Q8MT77,Q9VK56,Q9VGM1,Q9VLP5,Q9VAN4,Q9W2I5,Q7KT22,A0A0B4KGI0	Q1LX78,A0A0R4IV86,E7EYG0,R4GDR4,E7F118,A0A140LGU2,F1QIK5,F1R4U2,F8W557,F1RCV0,A0A0R4IC81,A0A0N4SUC0,A0A140LGD8,E7F961,F1QMZ9,E7F108,A0A0N4SU49,Q5RH87	Q09428,O60706,P13569,P33527,Q92887,O15438,O15439,O15440,O95255,Q5T3U5,Q96J66,Q96J65	P14772,P0CE68,P38735,P32386,P39109,P0CE69,P53049	Q92337,Q10185,Q9P5N0,Q9P7V2	
KOG0060	1.0	1.0	12	12	5	5	Q94FB9,Q6NLC1	H2L034,F5GUC6,Q18598,Q18597	Q9VWC8	B0UY91,F1Q4Y1,A0A0R4IRL4	P28288,O14678			Q94FB9,Q6NLC1	H2L034,F5GUC6,Q18598,Q18597	Q9VWC8	B0UY91,F1Q4Y1,A0A0R4IRL4	P28288,O14678			
KOG0064	1.0	1.0	10	10	6	6	Q94FB9	O45730	Q7JUN3	F1RBC8,A0A0G2KI30,E7F973	P33897,Q9UBJ2	P41909,P34230		Q94FB9	O45730	Q7JUN3	F1RBC8,A0A0G2KI30,E7F973	P33897,Q9UBJ2	P41909,P34230		
KOG0057	1.0	1.0	9	9	7	7	Q9FUT3,Q9M0G9,Q9LVM1	G4SRS5	Q9W0C5	E7F6F7	O75027	P40416	O14286	Q9FUT3,Q9M0G9,Q9LVM1	G4SRS5	Q9W0C5	E7F6F7	O75027	P40416	O14286	
KOG0058	1.0	1.0	28	28	7	7	Q8RY46,Q0WML0,Q9LZB8	O44897,O18227,Q9TZD9,O17895,O45278,O02086,Q9BL17,Q9U275	Q9VYL5,Q8SWW9	Q56A55,A3KGZ4,E7F2I0,Q1LWX8,F1Q5K6,E7F8A9	Q9NP78,Q9NRK6,Q9NUT2,Q03518,Q03519,E7ENX8	P33310,P33311	Q9Y7M7	Q8RY46,Q0WML0,Q9LZB8	O44897,O18227,Q9TZD9,O17895,O45278,O02086,Q9BL17,Q9U275	Q9VYL5,Q8SWW9	Q56A55,A3KGZ4,E7F2I0,Q1LWX8,F1Q5K6,E7F8A9	Q9NP78,Q9NRK6,Q9NUT2,Q03518,Q03519,E7ENX8	P33310,P33311	Q9Y7M7	
KOG0204	1.0	1.0	27	27	7	7	Q9SZR1,Q9M2L4,Q9LY77,Q9LIK7,Q37145,O81108,O22218,O64806,Q9LF79,Q9LU41,F4KHQ2	G5EFR6,Q9TYP9,Q95XP5	Q59DP9	F1QKF2,F6PDY7,B0S5H3,X1WCG5,F1RC03,F1QBG4	P20020,Q01814,Q16720,P23634	P38929	Q9HDW7	Q9SZR1,Q9M2L4,Q9LY77,Q9LIK7,Q37145,O81108,O22218,O64806,Q9LF79,Q9LU41,F4KHQ2	G5EFR6,Q9TYP9,Q95XP5	Q59DP9	F1QKF2,F6PDY7,B0S5H3,X1WCG5,F1RC03,F1QBG4	P20020,Q01814,Q16720,P23634	P38929	Q9HDW7	
KOG0752	1.0	1.0	32	32	7	7	O04619,Q9SUV1,Q9LJX5,Q9C9R4,Q9LV81,F4HW79,F4JU70,O65023,Q9M024,Q8RXZ9,Q9FI73,Q8W4M2,Q9M058,Q8L7R0	Q93717	Q7K0L7,Q9VDL7,Q9W0Y9	Q0P483,Q5U3V7,A0A0R4IA42,B8A698	P16260,Q86VD7,Q8WUT9,Q9HC21	P38702,P53257,Q12251	O13805,O94370,Q8TFH2	O04619,Q9SUV1,Q9LJX5,Q9C9R4,Q9LV81,F4HW79,F4JU70,O65023,Q9M024,Q8RXZ9,Q9FI73,Q8W4M2,Q9M058,Q8L7R0	Q93717	Q7K0L7,Q9VDL7,Q9W0Y9	Q0P483,Q5U3V7,A0A0R4IA42,B8A698	P16260,Q86VD7,Q8WUT9,Q9HC21	P38702,P53257,Q12251	O13805,O94370,Q8TFH2	
KOG0749	1.0	1.0	26	26	7	7	P31167,P40941,O49447,Q8LB08,Q9FM86	G5EFW8,G5EFU2,O45865,O01813,Q18683,P91270,Q21809	Q26365,O62526	B0S730,Q8JHI0,Q6NX10,A2CEZ0	P12235,P05141,P12236,Q9H0C2	P04710,P18239,P18238	Q09188	P31167,P40941,O49447,Q8LB08,Q9FM86	G5EFW8,G5EFU2,O45865,O01813,Q18683,P91270,Q21809	Q26365,O62526	B0S730,Q8JHI0,Q6NX10,A2CEZ0	P12235,P05141,P12236,Q9H0C2	P04710,P18239,P18238	Q09188	
KOG0498	1.0	1.0	58	58	5	5	Q38998,Q38898,Q9SCX5,Q8GXE6,Q9LNJ0,Q9SKD6,Q8GWD2,Q9LD40,Q9SJA4,Q9SL29,Q9SU64,Q8L7Z0,Q9LEQ3,Q9LDR2,Q9LD37,O65717,O65718,Q9SKD7,Q94AS9,Q8RWS9,O82226,Q9S9N5,Q9FXH6,Q9M0A4,Q94A76,Q39128,Q38849,P92960,Q9M8S6	G5EFJ9	Q7JPB9,A1ZB14,A1Z9N7	E7FB36,B3DJX4,F1QZP7,F1QTV6,A0A0R4IRW0,F6NYL9,R4GEE8,E7F7K8,F1Q9R9,B0V138,E7FEW1,X1WCF7,F6NQL8,A8WHX9,E7F3Z3	O60741,Q9UL51,Q9P1Z3,Q9Y3Q4,Q12809,Q9ULD8,Q9UQ05,Q9H252,Q9NS40,Q96L42			Q38998,Q38898,Q9SCX5,Q8GXE6,Q9LNJ0,Q9SKD6,Q8GWD2,Q9LD40,Q9SJA4,Q9SL29,Q9SU64,Q8L7Z0,Q9LEQ3,Q9LDR2,Q9LD37,O65717,O65718,Q9SKD7,Q94AS9,Q8RWS9,O82226,Q9S9N5,Q9FXH6,Q9M0A4,Q94A76,Q39128,Q38849,P92960,Q9M8S6	G5EFJ9	Q7JPB9,A1ZB14,A1Z9N7	E7FB36,B3DJX4,F1QZP7,F1QTV6,A0A0R4IRW0,F6NYL9,R4GEE8,E7F7K8,F1Q9R9,B0V138,E7FEW1,X1WCF7,F6NQL8,A8WHX9,E7F3Z3	O60741,Q9UL51,Q9P1Z3,Q9Y3Q4,Q12809,Q9ULD8,Q9UQ05,Q9H252,Q9NS40,Q96L42			
KOG0682	1.0	1.0	17	17	5	5	P54144,Q9ZPJ8,Q9SQH9,Q9SVT8,Q9LK16,Q9M6N7	P54145,Q20605,Q21565,Q17663	Q9VFA9			P40260,P41948,P53390	Q9C0V1,Q9US00,Q9P7F3	P54144,Q9ZPJ8,Q9SQH9,Q9SVT8,Q9LK16,Q9M6N7	P54145,Q20605,Q21565,Q17663	Q9VFA9			P40260,P41948,P53390	Q9C0V1,Q9US00,Q9P7F3	
KOG1304	1.0	1.0	30	30	7	7	Q9SF09,Q9FKY3,F4ILY9,Q9SVG0	P34479,O45936,Q18595,G4SQY7,Q9XX44,O62286	Q9W056,Q9VT04,Q4V5R4,Q9VX84,Q7K2W3,Q9VLM3,Q9VTD7,Q8IQF3,M9PEU1,M9PHT8,Q9VTD5	E7F8C6,E7F5P8	Q7Z2H8,Q495M3,Q495N2,Q6YBV0	P36062,P50944	Q10074	Q9SF09,Q9FKY3,F4ILY9,Q9SVG0	P34479,O45936,Q18595,G4SQY7,Q9XX44,O62286	Q9W056,Q9VT04,Q4V5R4,Q9VX84,Q7K2W3,Q9VLM3,Q9VTD7,Q8IQF3,M9PEU1,M9PHT8,Q9VTD5	E7F8C6,E7F5P8	Q7Z2H8,Q495M3,Q495N2,Q6YBV0	P36062,P50944	Q10074	
KOG1758	1.0	1.0	8	8	7	7	Q96252,P09468	Q09544	Q9W2X6	Q1LVG7	P30049	Q12165	Q9P6R6	Q96252,P09468	Q09544	Q9W2X6	Q1LVG7	P30049	Q12165	Q9P6R6	
