GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	DATE
UniProtKB	A0A024QZB8	CLN3	involved_in	GO:0036359	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61124|ensembl:ENSMUSP00000081636	9606	Ensembl		20220419
UniProtKB	A0A024R2B3	BCL2	involved_in	GO:0003014	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P10417|ensembl:ENSMUSP00000108371	9606	Ensembl		20220419
UniProtKB	A0A024R324	RHOA	involved_in	GO:0001998	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9QUI0|ensembl:ENSMUSP00000007959	9606	Ensembl		20220419
UniProtKB	A0A024R3C5	DRD2	involved_in	GO:0035810	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P61168|ensembl:ENSMUSP00000075170	9606	Ensembl		20220419
UniProtKB	A0A024R6B3	TMEM63C	involved_in	GO:0003094	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:D3ZNF5|ensembl:ENSRNOP00000015571	9606	Ensembl		20220419
UniProtKB	A0A024R7A8	AKR1B1	involved_in	GO:0035809	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P45376|ensembl:ENSMUSP00000100045	9606	Ensembl		20220419
UniProtKB	A0A024R7A8	AKR1B1	involved_in	GO:0003091	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P45376|ensembl:ENSMUSP00000100045	9606	Ensembl		20220419
UniProtKB	A0A024R809	SULF1	involved_in	GO:0003094	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8K007|ensembl:ENSMUSP00000137523	9606	Ensembl		20220419
UniProtKB	A0A024RA31	AQP1	involved_in	GO:0070295	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q02013|ensembl:ENSMUSP00000004774	9606	Ensembl		20220419
UniProtKB	A0A024RA31	AQP1	involved_in	GO:0003094	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q02013|ensembl:ENSMUSP00000004774	9606	Ensembl		20220419
UniProtKB	A0A059UIG5	A0A059UIG5	involved_in	GO:0035809	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P45376|ensembl:ENSMUSP00000100045	9838	Ensembl		20220419
UniProtKB	A0A059UIG5	A0A059UIG5	involved_in	GO:0003091	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P45376|ensembl:ENSMUSP00000100045	9838	Ensembl		20220419
UniProtKB	A0A061HXN7	H671_6g15713	involved_in	GO:0097017	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P06396|ensembl:ENSP00000362924	10029	Ensembl		20220419
UniProtKB	A0A061I0W8	CgPICR_019741	involved_in	GO:0070294	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9UNF1|ensembl:ENSP00000364193	10029	Ensembl		20220419
UniProtKB	A0A061I667	Ednra	involved_in	GO:0097018	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61614|ensembl:ENSMUSP00000034029	10029	Ensembl		20220419
UniProtKB	A0A061I667	Ednra	involved_in	GO:0070294	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61614|ensembl:ENSMUSP00000034029	10029	Ensembl		20220419
UniProtKB	A0A061I667	Ednra	involved_in	GO:0003094	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61614|ensembl:ENSMUSP00000034029	10029	Ensembl		20220419
UniProtKB	A0A061IBP3	Cln3	involved_in	GO:0036359	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61124|ensembl:ENSMUSP00000081636	10029	Ensembl		20220419
