GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	DATE
UniProtKB	A0A009GRA3	ftsB	involved_in	GO:0007049	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0131	1310608	UniProt		20240129
UniProtKB	A0A009GRA3	ftsB	involved_in	GO:0043093	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000098149	1310608	UniProt		20240129
UniProtKB	A0A009GRA3	ftsB	involved_in	GO:0043093	P	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR37485:SF1	1310608	TreeGrafter		20240201
UniProtKB	A0A009GU91	minD	involved_in	GO:0000917	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0717	1310608	UniProt		20240129
UniProtKB	A0A009GYU8	murA	involved_in	GO:0007049	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0131	1310608	UniProt		20240129
UniProtKB	A0A009H1H1	J507_3077	involved_in	GO:0032506	P	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR38687:SF1	1310608	TreeGrafter		20240201
UniProtKB	A0A009H4U1	ysxC	involved_in	GO:0000917	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0717	1310608	UniProt		20240129
UniProtKB	A0A009H4U1	ysxC	involved_in	GO:0007049	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0131	1310608	UniProt		20240129
UniProtKB	A0A009H4U1	ysxC	involved_in	GO:0090529	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000083310	1310608	UniProt		20240129
UniProtKB	A0A009H5B5	mraY	involved_in	GO:0007049	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0131	1310608	UniProt		20240129
UniProtKB	A0A009H5W9	murD	involved_in	GO:0007049	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0131	1310608	UniProt		20240129
UniProtKB	A0A009H6Q9	murG	involved_in	GO:0007049	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0131	1310608	UniProt		20240129
UniProtKB	A0A009H6R2	ftsZ	involved_in	GO:0000917	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0717	1310608	UniProt		20240129
UniProtKB	A0A009H6R2	ftsZ	involved_in	GO:0007049	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0131	1310608	UniProt		20240129
UniProtKB	A0A009H6R2	ftsZ	involved_in	GO:0043093	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000100343	1310608	UniProt		20240129
UniProtKB	A0A009H6R2	ftsZ	involved_in	GO:0090529	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000100343	1310608	UniProt		20240129
UniProtKB	A0A009H6T4	minE	involved_in	GO:0007049	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0131	1310608	UniProt		20240129
UniProtKB	A0A009H8P3	ftsI	involved_in	GO:0000917	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0717	1310608	UniProt		20240129
UniProtKB	A0A009H8P3	ftsI	involved_in	GO:0007049	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0131	1310608	UniProt		20240129
UniProtKB	A0A009H8P3	ftsI	involved_in	GO:0043093	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000432218	1310608	UniProt		20240129
UniProtKB	A0A009H8P5	J507_3603	involved_in	GO:0007059	P	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR33375:SF1	1310608	TreeGrafter		20240201
UniProtKB	A0A009H9W9	ftsQ	involved_in	GO:0007049	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0131	1310608	UniProt		20240129
UniProtKB	A0A009H9W9	ftsQ	involved_in	GO:0043093	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000067691	1310608	UniProt		20240129
UniProtKB	A0A009H9W9	ftsQ	involved_in	GO:0090529	P	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR026579	1310608	InterPro		20240129
UniProtKB	A0A009HB22	xerC	involved_in	GO:0007049	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0131	1310608	UniProt		20240129
UniProtKB	A0A009HB22	xerC	involved_in	GO:0007059	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0159	1310608	UniProt		20240129
UniProtKB	A0A009HB22	xerC	involved_in	GO:0007059	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000085053	1310608	UniProt		20240129
UniProtKB	A0A009HB56	tolQ	involved_in	GO:0007049	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0131	1310608	UniProt		20240129
UniProtKB	A0A009HCD7	J507_0806	involved_in	GO:0000917	P	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR38685:SF1	1310608	TreeGrafter		20240201
UniProtKB	A0A009HCD7	J507_0806	involved_in	GO:0007049	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0131	1310608	UniProt		20240129
UniProtKB	A0A009HCD7	J507_0806	involved_in	GO:0090529	P	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR007449|InterPro:IPR011919|InterPro:IPR036765	1310608	InterPro		20240129
UniProtKB	A0A009HG40	parC	involved_in	GO:0007059	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000165615	1310608	UniProt		20240129
