GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	DATE
UniProtKB	A0A023T695	A0A023T695	involved_in	GO:0007049	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0131	9606	UniProt		20240129
UniProtKB	A0A023T695	A0A023T695	involved_in	GO:0061640	P	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR18884:SF129	9606	TreeGrafter		20240201
UniProtKB	A0A024QZP7	CDK1	involved_in	GO:0000086	P	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR24056:SF334	9606	TreeGrafter		20240201
UniProtKB	A0A024QZP7	CDK1	involved_in	GO:0007049	P	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0131	9606	UniProt		20240129
UniProtKB	A0A024QZP7	CDK1	involved_in	GO:0007095	P	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR24056:SF334	9606	TreeGrafter		20240201
UniProtKB	A0A024R0I2	A0A024R0I2	involved_in	GO:0000711	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q62209|ensembl:ENSMUSP00000029448	9606	Ensembl		20240129
UniProtKB	A0A024R0I2	A0A024R0I2	involved_in	GO:0000711	P	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR46918:SF1	9606	TreeGrafter		20240201
UniProtKB	A0A024R0I2	A0A024R0I2	involved_in	GO:0007129	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q62209|ensembl:ENSMUSP00000029448	9606	Ensembl		20240129
UniProtKB	A0A024R0I2	A0A024R0I2	involved_in	GO:0007130	P	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008827	9606	InterPro		20240129
UniProtKB	A0A024R0I2	A0A024R0I2	involved_in	GO:0007130	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q62209|ensembl:ENSMUSP00000029448	9606	Ensembl		20240129
UniProtKB	A0A024R0I2	A0A024R0I2	involved_in	GO:0007131	P	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q62209|ensembl:ENSMUSP00000029448	9606	Ensembl		20240129
