GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	DATE
UniProtKB	A0A000	moeA5	enables	GO:0030170	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004839|InterPro:IPR010961	67581	InterPro		20220419
UniProtKB	A0A000	moeA5	enables	GO:0003824	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR015421|InterPro:IPR015422	67581	InterPro		20220419
UniProtKB	A0A000	moeA5	enables	GO:0003870	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR010961	67581	InterPro		20220419
UniProtKB	A0A001	moeD5	enables	GO:0005524	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003439|InterPro:IPR011527|InterPro:IPR017871|InterPro:IPR036640	67581	InterPro		20220419
UniProtKB	A0A001	moeD5	enables	GO:0140359	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011527	67581	InterPro		20220419
UniProtKB	A0A001	moeD5	enables	GO:0000166	F	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	67581	UniProt		20220419
UniProtKB	A0A001	moeD5	enables	GO:0005524	F	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	67581	UniProt		20220419
UniProtKB	A0A001	moeD5	enables	GO:0000166	F	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000400038	67581	UniProt		20220419
UniProtKB	A0A001	moeD5	enables	GO:0005524	F	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000400038	67581	UniProt		20220419
UniProtKB	A0A002	A0A002	enables	GO:0005524	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003439|InterPro:IPR011527|InterPro:IPR036640	67581	InterPro		20220419
UniProtKB	A0A002	A0A002	enables	GO:0140359	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011527	67581	InterPro		20220419
UniProtKB	A0A002	A0A002	enables	GO:0000166	F	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	67581	UniProt		20220419
UniProtKB	A0A002	A0A002	enables	GO:0005524	F	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	67581	UniProt		20220419
UniProtKB	A0A002	A0A002	enables	GO:0000166	F	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000400038	67581	UniProt		20220419
UniProtKB	A0A002	A0A002	enables	GO:0005524	F	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000400038	67581	UniProt		20220419
UniProtKB	A0A004	moeF5	enables	GO:0004066	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001962|InterPro:IPR006426	67581	InterPro		20220419
UniProtKB	A0A004	moeF5	enables	GO:0000166	F	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	67581	UniProt		20220419
UniProtKB	A0A004	moeF5	enables	GO:0005524	F	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	67581	UniProt		20220419
UniProtKB	A0A007	moeK5	enables	GO:0003824	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006638|InterPro:IPR007197	67581	InterPro		20220419
UniProtKB	A0A007	moeK5	enables	GO:0031419	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006158	67581	InterPro		20220419
UniProtKB	A0A007	moeK5	enables	GO:0046872	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006158	67581	InterPro		20220419
UniProtKB	A0A007	moeK5	enables	GO:0051536	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006638|InterPro:IPR007197	67581	InterPro		20220419
UniProtKB	A0A009	moeM5	enables	GO:0003824	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003696	67581	InterPro		20220419
UniProtKB	A0A009DWE1	J504_3685	enables	GO:0022857	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001036	1310605	InterPro		20220419
UniProtKB	A0A009DWE1	J504_3685	enables	GO:0022857	F	ECO:0007669	IEA	GO_REF:0000117	ARBA:ARBA00028127	1310605	UniProt		20220419
